id,name,category,prerequisites,min_age_weeks,is_core_skill,target_levels,description
sitz,Sitz,basicCue,{},9,true,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}","Der Hund setzt sich auf Kommando und bleibt sitzen, bis er freigegeben wird."
platz,Platz,basicCue,"{""sitz""}",9,true,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}",Der Hund legt sich auf Kommando ab — die Grundlage für Ruhe und Bleib-Übungen.
bleib,Bleib,basicCue,"{""sitz"",""platz""}",13,true,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}","Der Hund hält Sitz oder Platz, bis er aktiv freigegeben wird, auch wenn etwas ablenkt."
rueckruf,Rückruf,basicCue,{},9,true,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}","Der Hund kommt auf ein Signal zuverlässig zurück, auch mit Ablenkung — anfangs an der Schleppleine gesichert."
leinenfuehrigkeit,Leinenführigkeit,leashWork,{},9,true,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}","Der Hund geht an lockerer Leine, ohne zu ziehen — am besten mit Geschirr statt Halsband."
aus_loslassen,Aus / Loslassen,impulseControl,{},9,true,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}","Der Hund gibt einen Gegenstand ab, ohne dass er ihm weggenommen werden muss."
abbruchsignal_nein,Abbruchsignal (Nein),impulseControl,{},9,true,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}","Ein Signal, das eine unerwünschte Handlung sofort stoppt — rein positiv aufgebaut, ohne Strafe."
apportieren,Apportieren,cooperation,"{""aus_loslassen""}",17,false,"{""duration"": 2, ""distance"": 3, ""distraction"": 3}",Der Hund bringt einen geworfenen Gegenstand zurück und gibt ihn ab.
hand_target_touch,Hand-Target (Touch),cooperation,{},9,false,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}",Der Hund berührt die Handfläche mit der Nase — Grundlage für viele weitere Übungen.
blickkontakt_fokus,Blickkontakt / Fokus,cooperation,{},9,false,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}","Der Hund sucht von sich aus Blickkontakt zum Halter, auch mit Ablenkung in der Nähe."
maennchen,Männchen,cooperation,"{""sitz""}",52,false,"{""duration"": 2, ""distance"": 3, ""distraction"": 3}",Der Hund setzt sich auf und hält die Vorderpfoten in der Luft.
rolle,Rolle,cooperation,"{""platz""}",26,false,"{""duration"": 2, ""distance"": 3, ""distraction"": 3}",Der Hund rollt sich auf Kommando einmal um die eigene Achse.
slalom_durch_die_beine,Slalom durch die Beine,cooperation,{},26,false,"{""duration"": 2, ""distance"": 3, ""distraction"": 3}",Der Hund läuft im Slalom durch die Beine des Halters.
kriechen,Kriechen,cooperation,"{""platz""}",26,false,"{""duration"": 2, ""distance"": 3, ""distraction"": 3}",Der Hund robbt flach am Boden vorwärts.
pfote_geben,Pfote geben,cooperation,"{""sitz""}",13,false,"{""duration"": 1, ""distance"": 1, ""distraction"": 2}",Der Hund reicht auf Kommando eine Pfote.
faehrtensuche_mantrailing,Fährtensuche / Mantrailing,cooperation,{},17,false,"{""duration"": 2, ""distance"": 3, ""distraction"": 3}","Der Hund folgt einer Geruchsspur über Distanz — im eigenen Tempo, mit Geschirr statt Halsband."
gegenstandsanzeige_zos,Gegenstandsanzeige (ZOS),cooperation,"{""platz""}",26,false,"{""duration"": 3, ""distance"": 4, ""distraction"": 5}",Der Hund findet einen bestimmten Gegenstand per Nase und zeigt ihn an.
sprung_ueber_hindernis,Sprung über Hindernis,cooperation,{},52,false,"{""duration"": 3, ""distance"": 4, ""distraction"": 5}",Der Hund springt kontrolliert über ein Hindernis — erst ab geschlossenen Wachstumsfugen (ca. 12–15 Monate).
stopp_auf_distanz,Stopp auf Distanz,impulseControl,"{""bleib""}",26,true,"{""duration"": 3, ""distance"": 4, ""distraction"": 5}","Der Hund stoppt sofort auf Signal, auch auf Distanz und in Bewegung."
rueckwaertsgehen,Rückwärtsgehen,cooperation,{},26,false,"{""duration"": 2, ""distance"": 3, ""distraction"": 3}",Der Hund geht auf Kommando rückwärts.
