id,titel,satz,typ,trainiert_skill,bedarf,belastung,dauer_min,dauer_max,ort,fuer_ablenkung,ist_auffrischung,hitzetauglich,regentauglich,dunkeltauglich,gelenkbelastend,saisonfenster,equipment,zweite_person,min_alter_wochen,max_alter_wochen,eignung,varianzgruppe,sperrfrist_tage,illustration,anleitung,erfolgskriterium,haeufige_fehler,troubleshooting
leckerlisuche_im_gras,Leckerlisuche im Gras,Hund absetzen.,training,faehrtensuche_mantrailing,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",1,5,15,draussen,"[1, 3]",false,true,true,true,false,,{},false,17,,{},leckerlisuche_im_gras,7,,"{""Hund absetzen"",""Leckerli im Gras verteilen"",""Suchkommando geben""}","Er meistert „Leckerlisuche im Gras"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund sucht nicht""}","[{""problem"": ""Hund sucht nicht"", ""antwort"": ""Leckerli anfangs sichtbarer hinlegen""}]"
huetchenspiel,Hütchenspiel,Leckerli unter einem von 3 Bechern verstecken.,training,faehrtensuche_mantrailing,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",1,5,15,egal,"[3, 5]",false,true,true,true,false,,"{""becher""}",false,17,,{},huetchenspiel,7,,"{""Leckerli unter einem von 3 Bechern verstecken"",""Becher mischen"",""Hund wählen lassen""}","Er meistert „Hütchenspiel"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund wirft Becher um""}","[{""problem"": ""Hund wirft Becher um"", ""antwort"": ""Becher festhalten und Anzeige abwarten""}]"
futter_faehrte,Futter-Fährte,Futterstücke in einer Linie auslegen.,training,faehrtensuche_mantrailing,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,false,true,false,,{},false,17,,{},futter_faehrte,7,,"{""Futterstücke in einer Linie auslegen"",""Hund am Startpunkt ansetzen"",""Schnüffeln lassen""}","Er meistert „Futter-Fährte"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund rennt zu schnell""}","[{""problem"": ""Hund rennt zu schnell"", ""antwort"": ""Futterabstand verringern""}]"
teebeutel_unterscheidung,Teebeutel-Unterscheidung,Hund auf bestimmten Tee konditionieren.,training,gegenstandsanzeige_zos,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,{},false,26,,{},teebeutel_unterscheidung,7,,"{""Hund auf bestimmten Tee konditionieren"",""Teebeutel zwischen anderen verstecken"",""Anzeige belohnen""}","Er meistert „Teebeutel-Unterscheidung"" sicher, auch im zweiten oder dritten Anlauf.","{""Falscher Beutel angezeigt""}","[{""problem"": ""Falscher Beutel angezeigt"", ""antwort"": ""Kommentarlos abbrechen und neu starten""}]"
verlorenensuche_auf_dem_spaziergang,Verlorenensuche auf dem Spaziergang,Gegenstand unbemerkt fallen lassen.,training,gegenstandsanzeige_zos,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",2,10,20,unterwegs,"[1, 3]",false,false,true,true,false,,{},false,26,,{},verlorenensuche_auf_dem_spaziergang,7,,"{""Gegenstand unbemerkt fallen lassen"",""Einige Meter weitergehen"",""Hund zurückschicken""}","Er meistert „Verlorenensuche auf dem Spaziergang"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund findet Objekt nicht""}","[{""problem"": ""Hund findet Objekt nicht"", ""antwort"": ""Distanz verringern""}]"
schnueffelteppich_ausleeren,Schnüffelteppich ausleeren,Trockenfutter im Teppich verstecken.,training,faehrtensuche_mantrailing,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",1,5,15,egal,"[0, 1]",false,true,true,true,false,,{},false,17,,{},schnueffelteppich_ausleeren,7,,"{""Trockenfutter im Teppich verstecken"",""Hund suchen lassen""}","Er meistert „Schnüffelteppich ausleeren"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund schüttelt Teppich""}","[{""problem"": ""Hund schüttelt Teppich"", ""antwort"": ""Teppich am Boden fixieren""}]"
zielobjektsuche_zos_im_wohnzimmer,Zielobjektsuche (ZOS) im Wohnzimmer,Gegenstand (z.B. Feuerzeug) verstecken.,training,gegenstandsanzeige_zos,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",1,5,15,drinnen,"[1, 3]",false,true,true,true,false,,{},false,26,,{},zielobjektsuche_zos_im_wohnzimmer,7,,"{""Gegenstand (z.B. Feuerzeug) verstecken"",""Hund suchen und im Platz anzeigen lassen""}","Er meistert „Zielobjektsuche (ZOS) im Wohnzimmer"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund nimmt Gegenstand ins Maul""}","[{""problem"": ""Hund nimmt Gegenstand ins Maul"", ""antwort"": ""Platz-Kommando schneller geben""}]"
mantrailing_ansatz_familienmitglied_suchen,Mantrailing-Ansatz (Familienmitglied suchen),Person versteckt sich.,training,faehrtensuche_mantrailing,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",2,10,20,egal,"[1, 3]",false,false,true,true,false,,{},false,17,,{},mantrailing_ansatz_familienmitglied_suchen,7,,"{""Person versteckt sich"",""Hund bekommt Geruchsartikel"",""Spur verfolgen""}","Er meistert „Mantrailing-Ansatz (Familienmitglied suchen)"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund verliert Spur""}","[{""problem"": ""Hund verliert Spur"", ""antwort"": ""Person versteckt sich zunächst in Sichtweite""}]"
leckerli_im_baumstamm,Leckerli im Baumstamm,Leckerlis in die Rinde klemmen.,training,faehrtensuche_mantrailing,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",1,5,15,draussen,"[1, 3]",false,true,true,true,false,,{},false,17,,{},leckerli_im_baumstamm,7,,"{""Leckerlis in die Rinde klemmen"",""Hund am Baum suchen lassen""}","Er meistert „Leckerli im Baumstamm"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund kratzt an der Rinde""}","[{""problem"": ""Hund kratzt an der Rinde"", ""antwort"": ""Nur mit der Nase suchen belohnen""}]"
futter_kartons,Futter-Kartons,Mehrere leere Kartons aufstellen.,training,faehrtensuche_mantrailing,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 3, ""sozial"": 0, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,{},false,17,,{},futter_kartons,7,,"{""Mehrere leere Kartons aufstellen"",""Futter in einen Karton legen"",""Suchen lassen""}","Er meistert „Futter-Kartons"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund zerbeißt Karton""}","[{""problem"": ""Hund zerbeißt Karton"", ""antwort"": ""Kartons offen lassen""}]"
